id	gcf	scf	bs	edge_len	gn	sn
1070	7.75	34.62	0.998	0.005115935	1110	6124.17
1071	5.01	36.69	1	0.004452742	1118	5995.04
1072	0.26	33.73	0.619	0.00460843	1157	5948.76
1073	1.84	38.53	1	0.005303524	1142	6173.61
1074	26.05	53.72	1	0.005302897	1121	6633.19
1075	27.61	52.16	1	0.00333733	1130	6658.21
1076	2.58	34.56	1	0.003286659	1126	5986.34
1077	14.23	45.2	1	0.004685679	1103	5747.83
1078	16.32	50.65	1	0.003391181	1140	6895.05
1079	55.62	76.64	1	0.004900781	926	7004.42
1080	3	40.82	1	0.001430771	1068	7619.4
1081	3.28	39.23	1	0.007979111	1068	6819.39
1082	7.54	59.61	1	0.008776496	1141	7863.91
1083	0.44	35.47	1	0.006957718	1141	6439.08
1084	0	34.51	1	0.006243756	1151	6001.28
1085	0.09	32.39	0.996	0.005640871	1112	5765.09
1086	0.54	34.27	0.999	0.005346158	920	5127.78
1087	1.6	35.66	1	0.005985491	874	5058.31
1088	2.39	39.43	1	0.005363546	1089	5876.9
1089	0	34.6	1	0.004587188	1173	6322.32
1090	0.09	35.19	1	0.006386979	1163	6396.8
1091	0	32.58	1	0.00607218	1149	6494.98
1092	0	33.69	0.934	0.0057974	1147	6424.74
1093	0.63	34.36	1	0.006125712	1119	6631.29
1094	13.15	47.37	1	0.00548334	1095	6857.98
1095	0.35	34.32	0.225	0.004205149	1142	6293.81
1096	14.75	50.54	1	0.005807538	1105	6710.52
1097	8.89	42.67	1	0.003735377	1024	6174.55
1098	0.09	35.11	1	0.004354803	1107	6494.19
1099	1.67	33.37	0.93	0.005396645	1079	6238.8
1100	0	36.8	1	0.004996828	1144	6411.52
1101	0.36	30.66	0.702	0.005669831	1125	6116.9
1102	7.06	43.26	1	0.005315365	1105	6412.94
1103	2.6	38.53	1	0.004121772	1116	6363.68
1104	0	32.73	0.999	0.004627959	1171	6526.84
1105	0	34.3	1	0.006582974	1163	6518.91
1106	0	34.69	1	0.006018119	1159	6618.13
1107	0.17	33.06	1	0.006003572	1151	6372.54
1108	13.45	50.51	1	0.00559374	1115	6656.76
1109	9.88	42.93	1	0.003857823	1113	6398.12
1110	0	34.34	0.943	0.004255224	1156	6429.13
1111	0.18	32.24	1	0.006009865	1105	6392.07
1112	9.63	44.06	1	0.005623868	1080	6602.45
1113	0.09	35.55	1	0.004345234	1146	6566.77
1114	9.84	44	1	0.005547778	1118	6659.3
1115	11.64	43.93	1	0.004327473	1125	6714.26
1116	0.18	33.39	0.983	0.004046526	1134	6537.26
1117	6.96	40.02	1	0.005563936	1107	6791.06
1118	0	36.26	0.966	0.004318726	1167	6398.23
1119	0	33.75	0.72	0.006382163	1165	6162.34
1120	0.09	34.98	1	0.006084674	1136	6223.84
1121	0.09	34.68	0.074	0.005601967	1131	5814.06
1122	7.52	39.26	1	0.00555989	1010	5568.18
1123	1.39	33.43	1	0.004475079	1005	5417.3
1124	0	33.78	0.994	0.004840163	1152	6248.7
1125	12.14	48.36	1	0.005757061	1120	6617.49
1126	0	32.15	0.79	0.004000153	1129	6278.53
1127	4.17	46.7	1	0.005359692	1078	6327.26
1128	19.09	44.33	1	0.004695842	1079	6386.56
1129	0	34.57	1	0.003358948	1156	6282.5
1130	0.54	34.62	1	0.005950359	1116	6553.45
1131	8.75	45.68	1	0.005411492	1097	6558.11
1132	0.17	33.25	0.976	0.004208082	1144	6565.35
1133	6.78	43.19	1	0.005795616	1106	6679.49
1134	2.3	33.59	1	0.004389242	1128	6600.87
1135	1.19	42.45	1	0.005062355	1180	6835.04
1136	0.17	37.13	1	0.007844426	1174	5033.21
1137	0.35	40.57	1	0.007205916	1155	4492.32
1138	6.43	49.65	1	0.006745077	1135	6371.86
1139	4.44	34.63	0.901	0.005274234	1127	6427.35
1140	30.91	51.5	1	0.005398135	1126	6445.04
1141	12.33	37.06	1	0.003459428	1111	6191.61
1142	1.63	42.44	1	0.004424462	1103	6521.88
1143	5.73	47.72	1	0.005986877	1100	5784.55
1144	25.57	50	1	0.004966702	1134	5112.96
1145	3.59	39.53	1	0.003508908	1141	5028.71
1146	4.58	40.33	1	0.004157173	1136	4256.54
1147	34.22	58.58	1	0.004165724	900	3877.17
1148	9.48	35.29	1	0.001884002	1034	3590.48
1149	33.95	65.84	1	0.003441195	651	3038.02
1150	9.86	41.04	1	0.002759344	953	3547.72
1151	17.62	42.13	1	0.005538634	244	1280.79
1152	0.43	38.79	1	0.004525698	1169	5999.9
