target_sp                       outgroup
E_socialis_viridans             E_preissiana_lobata_2
E_tenera_1                      E_preissiana_lobata_2
E_tenera_2                      E_preissiana_lobata_2
E_tereticornis_rotunda_1        E_preissiana_lobata_2
E_tereticornis_rotunda_2        E_preissiana_lobata_2
E_tereticornis_tereticornis_1   E_preissiana_lobata_2
E_tereticornis_tereticornis_2   E_preissiana_lobata_2
E_tereticornis_tereticornis_3   E_preissiana_lobata_2
E_torquata                      E_preissiana_lobata_2
E_transcontinentalis            E_preissiana_lobata_2
E_utilis_1                      E_preissiana_lobata_2
E_utilis_2                      E_preissiana_lobata_2
E_utilis_3                      E_preissiana_lobata_2
E_varia_2                       E_preissiana_lobata_2
E_varia_3                       E_preissiana_lobata_2
E_viminalis_cygnetensis         E_preissiana_lobata_2
E_viminalis_hentyensis_1        E_preissiana_lobata_2
E_viminalis_hentyensis_2        E_preissiana_lobata_2
E_wandoo_pulverea_1             E_preissiana_lobata_2
E_wandoo_pulverea_2             E_preissiana_lobata_2
E_wandoo_wandoo                 E_preissiana_lobata_2
E_yilgarnensis_1                E_preissiana_lobata_2
E_yilgarnensis_2                E_preissiana_lobata_2
E_yilgarnensis_3                E_preissiana_lobata_2
C_calophylla_Corymbia           A_leiocarpa_1
E_camaldulensis_Exsertaria_Symphyomyrtus    E_preissiana_lobata_2
E_dawsonii_Adnataria_Symphyomyrtus          E_preissiana_lobata_2
E_decipiens_Bisectae_Symphyomyrtus          E_preissiana_lobata_2
E_lansdowneana_Adnataria_Symphyomyrtus      E_preissiana_lobata_2
E_melliodora_Adnataria_Symphyomyrtus        E_preissiana_lobata_2
E_paniculata_Adnataria_Symphyomyrtus        E_preissiana_lobata_2
E_polyanthemos_Adnataria_Symphyomyrtus      E_preissiana_lobata_2
E_viminalis_Maidenaria_Symphyomyrtus        E_preissiana_lobata_2
#E_albopurpurea_1       
#E_flocktoniae_flocktoniae_x_E_occidentalis
#E_largiflorens_3
#E_leucoxylon_pruinosa
#E_odorata_x_E_phenax
#E_scyphocalyx_1
