file	sum_len	cov
E_lansdowneana	17155012850	34.3100257
E_cosmophylla_1	17156500040	34.31300008
E_ebbanoensis_ebbanoensis	17157023232	34.314046464
E_indurata_2	17160287188	34.320574376
E_melanophitra	17175128730	34.35025746
E_grasbyi_1	17193914680	34.38782936
E_dorrigoensis	17218240880	34.43648176
E_myriadena_3	17241551580	34.48310316
E_horistes_horistes_2	17256511576	34.513023152
E_x_bunyip_1	17264405390	34.52881078
E_praetermissa	17268828314	34.537656628
E_pauciflora_parvifructa_1	17285021364	34.570042728
E_capillosa_3	17335591860	34.67118372
E_yilgarnensis_2	17339771140	34.67954228
E_x_pruiniramis	17344582158	34.689164316
E_lesouefii	17365453376	34.730906752
E_corynodes	17394695822	34.789391644
E_protensa	17405269282	34.810538564
E_pileata_1	17406982328	34.813964656
E_synandra_2	17423446740	34.84689348
E_goniocarpa	17429991964	34.859983928
E_aspersa	17448644714	34.897289428
E_platydisca	17460688224	34.921376448
E_mimica_mimica	17470992524	34.941985048
E_camaldulensis_camaldulensis	17474187582	34.948375164
E_pluricaulis_porphyrea	17478188772	34.956377544
E_cornuta	17483462132	34.966924264
E_leptopoda_elevata	17496655306	34.993310612
E_caesia_magna_4	17503537722	35.007075444
E_synandra_4	17540213170	35.08042634
E_grasbyi_2	17574126426	35.148252852
E_notactites	17594352368	35.188704736
E_perangusta	17603328642	35.206657284
E_socialis_victoriensis_1	17619983632	35.239967264
E_exilis_1	17628947338	35.257894676
E_rigidula_10	17655999066	35.311998132
E_argutifolia	17669258278	35.338516556
E_spreta	17678904092	35.357808184
E_remota	17688098762	35.376197524
C_haematoxylon	17716620210	35.43324042
C_leichhardii_1	17722869596	35.445739192
E_tumida	17772775822	35.545551644
E_astringens_redacta_2	17777159596	35.554319192
E_histophylla_1	17785350060	35.57070012
E_incerata	17785390838	35.570781676
E_tenera_1	17792601432	35.585202864
E_oleosa_ampliata_1	17813627388	35.627254776
E_baiophylla	17863881770	35.72776354
E_elata_2	17865361468	35.730722936
E_crucis_lanceolata_1	17874995544	35.749991088
E_myriadena_6	17885188040	35.77037608
E_macrandra_1	17885525438	35.771050876
E_aequioperta	17885563314	35.771126628
E_subangusta_pusilla	17904413810	35.80882762
E_subtilis_2	17914599032	35.829198064
E_rummeryi	17958340392	35.916680784
E_planipes_3	17973328250	35.9466565
E_socialis_socialis_2	17979863510	35.95972702
E_gillenii_1	17983254932	35.966509864
E_jensenii	18046177956	36.092355912
E_dendromorpha	18066966354	36.133932708
E_viminalis_cygnetensis	18070305800	36.1406116
E_aspratilis_3	18084245566	36.168491132
E_macrocarpa_macrocarpa	18084459414	36.168918828
E_wandoo_wandoo	18091452202	36.182904404
E_sp_Southern_wheatbelt_1	18110031246	36.220062492
C_trachyphloia_amphistomatica	18118291988	36.236583976
E_suggrandis_suggrandis_1	18119838776	36.239677552
E_grossa_2	18141004958	36.282009916
E_cernua	18159268536	36.318537072
E_gomphocephala_x_E_zopherophloia_1	18211585516	36.423171032
