tip_label	genus	subgenus	section
E_leucophylla_4	Eucalyptus	Symphyomyrtus	Adnataria
E_leucophylla_5	Eucalyptus	Symphyomyrtus	Adnataria
E_leucoxylon_megalocarpa_1	Eucalyptus	Symphyomyrtus	Adnataria
E_leucoxylon_megalocarpa_2	Eucalyptus	Symphyomyrtus	Adnataria
E_leucoxylon_megalocarpa_3	Eucalyptus	Symphyomyrtus	Adnataria
E_leucoxylon_pruinosa	Eucalyptus	Symphyomyrtus	Adnataria
E_litorea	Eucalyptus	Symphyomyrtus	Dumaria
E_lockyeri_1	Eucalyptus	Symphyomyrtus	Exsertaria
E_lockyeri_2	Eucalyptus	Symphyomyrtus	Exsertaria
E_lockyeri_3	Eucalyptus	Symphyomyrtus	Exsertaria
E_longirostrata	Eucalyptus	Symphyomyrtus	Pumilio
E_longissima	Eucalyptus	Symphyomyrtus	Bisectae
E_loxophleba_gratiae	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_loxophleba_lissophloia	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_loxophleba_loxophleba	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_loxophleba_supralaevis_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_loxophleba_supralaevis_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_lucasii_1	Eucalyptus	Symphyomyrtus	Adnataria
E_lucasii_2	Eucalyptus	Symphyomyrtus	Adnataria
E_mackintii	Eucalyptus	Eucalyptus	Eucalyptus
E_macrandra_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_macrandra_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_macrocarpa_elachantha	Eucalyptus	Symphyomyrtus	Bisectae
E_macrocarpa_macrocarpa	Eucalyptus	Symphyomyrtus	Bisectae
E_macrorhyncha_macrorhyncha	Eucalyptus	Eucalyptus	Eucalyptus
E_macta	Eucalyptus	Symphyomyrtus	Latoangulatae
E_malacoxylon	Eucalyptus	Symphyomyrtus	Maidenaria
E_mannensis_mannensis	Eucalyptus	Symphyomyrtus	Bisectae
E_marginata	Eucalyptus	Eucalyptus	Longistylus
E_marginata_Dull_leaf_1	Eucalyptus	Eucalyptus	Longistylus
E_marginata_Dull_leaf_2	Eucalyptus	Eucalyptus	Longistylus
E_megacarpa_1	Eucalyptus	Eucalyptus	'Frutices' ms
E_megacarpa_2	Eucalyptus	Eucalyptus	'Frutices' ms
E_megacornuta	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_melanophitra	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_melanophloia	Eucalyptus	Symphyomyrtus	Adnataria
E_melanophloia_melanophloia	Eucalyptus	Symphyomyrtus	Adnataria
E_melanophloia_nana	Eucalyptus	Symphyomyrtus	Adnataria
E_melanoxylon	Eucalyptus	Symphyomyrtus	Dumaria
E_merrickiae	Eucalyptus	Symphyomyrtus	Dumaria
E_microcarpa	Eucalyptus	Symphyomyrtus	Adnataria
E_microtheca	Eucalyptus	Symphyomyrtus	Adnataria
E_mimica_continens	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_mimica_mimica	Eucalyptus	Symphyomyrtus	'Glandulosae' ms
E_minniritchi	Eucalyptus	Symphyomyrtus	Bisectae
E_misella	Eucalyptus	Symphyomyrtus	Bisectae
E_moderata_1	Eucalyptus	Symphyomyrtus	Bisectae
E_moderata_2	Eucalyptus	Symphyomyrtus	Bisectae
E_molyneuxii	Eucalyptus	Eucalyptus	Eucalyptus
E_moorei_serpentinicola	Eucalyptus	Eucalyptus	Eucalyptus
E_morrisbyi_1	Eucalyptus	Symphyomyrtus	Maidenaria
