sequencing_id	project_id	folder_name	sample_id	species_name	genus	subgenus	section	series	subseries	species	subspecies	tip_label
1457276	1456412	EucNAsequencing_21_FD	CCA2924	Eucalyptus flocktoniae subsp. flocktoniae x E. occidentalis								E_flocktoniae_flocktoniae_x_E_occidentalis
1457269	1456398	Eucflosequencing_4_FD	CCA2900	Eucalyptus flocktoniae subsp. hebes	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decurrentes	flocktoniae	hebes	E_flocktoniae_hebes
1456833	1455526	Eucfolsequencing_2_FD	CCA0211	Eucalyptus foliosa	Eucalyptus	Symphyomyrtus	Bisectae	Angustissimae		foliosa		E_foliosa
1456630	1455120	Eucforsequencing_13_FD	CCA5840	Eucalyptus formanii subsp. 'Broad-leaf'								E_formanii_Broadxleaf_1
1456626	1455112	Eucforsequencing_15_FD	CCA5842	Eucalyptus formanii subsp. 'Broad-leaf'								E_formanii_Broadxleaf_2
1456604	1455068	Eucforsequencing_16_FD	CCA5844	Eucalyptus formanii subsp. 'Broad-leaf'								E_formanii_Broadxleaf_3
1457015	1455890	Eucforsequencing_17_FD	CCA0667	Eucalyptus formanii subsp. formanii	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		formanii	formanii	E_formanii_formanii_1
1457167	1456194	Eucforsequencing_18_FD	CCA1538	Eucalyptus formanii subsp. formanii	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		formanii	formanii	E_formanii_formanii_2
1456622	1455104	Eucforsequencing_14_FD	CCA5801	Eucalyptus formanii subsp. formanii	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		formanii	formanii	E_formanii_formanii_3
1456991	1455842	Eucforsequencing_12_FD	CCA0608	Eucalyptus forrestiana	Eucalyptus	Symphyomyrtus	Dumaria	Tetrapterae		forrestiana		E_forrestiana
1456791	1455442	Eucfrasequencing_6_FD	CCA0115	Eucalyptus fraseri subsp. fraseri	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		fraseri	fraseri	E_fraseri_fraseri_1
1456792	1455444	Eucfrasequencing_7_FD	CCA0116	Eucalyptus fraseri subsp. fraseri	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		fraseri	fraseri	E_fraseri_fraseri_2
1456879	1455618	Eucfrasequencing_5_FD	CCA0367	Eucalyptus fraseri subsp. melanobasis	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		fraseri	melanobasis	E_fraseri_melanobasis
1457120	1456100	Eucfresequencing_2_FD	CCA1405	Eucalyptus frenchiana	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		frenchiana		E_frenchiana
1456988	1455836	Eucfrosequencing_2_FD	CCA0591	Eucalyptus froggattii	Eucalyptus	Symphyomyrtus	Adnataria	Subbuxeales		froggattii		E_froggattii
1456595	1455050	Eucfrusequencing_5_FD	CCA5787	Eucalyptus fruticosa	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		fruticosa		E_fruticosa_1
1456594	1455048	Eucfrusequencing_6_FD	CCA5788	Eucalyptus fruticosa	Eucalyptus	Symphyomyrtus	Bisectae	Porantherae		fruticosa		E_fruticosa_2
1456752	1455364	Eucgamsequencing_2_FD	CCA0004	Eucalyptus gamophylla	Eucalyptus	Eudesmia	Limbatae	Heteropterae	Patelliformes	gamophylla		E_gamophylla
1456901	1455662	Eucgarsequencing_3_FD	CCA0409	Eucalyptus gardneri subsp. gardneri	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Levispermae	Levispermae	gardneri	gardneri	E_gardneri_gardneri
1457252	1456364	Eucgarsequencing_2_FD	CCA2854	Eucalyptus gardneri subsp. ravensthorpensis	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	Levispermae	Levispermae	gardneri	ravensthorpensis	E_gardneri_ravensthorpensis
1456909	1455678	Eucgeosequencing_4_FD	CCA0383	Eucalyptus georgei subsp. fulgida	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		georgei	fulgida	E_georgei_fulgida
1456829	1455518	Eucgeosequencing_3_FD	CCA0201	Eucalyptus georgei subsp. georgei	Eucalyptus	Symphyomyrtus	Dumaria	Rufispermae		georgei	georgei	E_georgei_georgei
1457084	1456028	Eucgilsequencing_5_FD	CCA1301	Eucalyptus gillenii	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Exsertae	gillenii		E_gillenii_1
1457271	1456402	Eucgilsequencing_3_FD	CCA2906	Eucalyptus gillenii	Eucalyptus	Symphyomyrtus	Exsertaria	Exsertae	Exsertae	gillenii		E_gillenii_2
1457016	1455892	Eucgilsequencing_6_FD	CCA0670	Eucalyptus gillii	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decussatae	gillii		E_gillii_1
1457272	1456404	Eucgilsequencing_4_FD	CCA2913	Eucalyptus gillii	Eucalyptus	Symphyomyrtus	Bisectae	Subulatae	Decussatae	gillii		E_gillii_2
