FieldID,RowTree,CurrentName,Voucher,Provenance,RowNum,YearPlanted,TreeNum,DNNumber,FieldComments,Date,FieldDetermination,Location,Description,Latitude,Longitude,Genus,Subgenus,Section,Series,Subseries,Species,Subspecies
CCA5316,R292/T06,Eucalyptus luehmanniana,DN 6793,"Royal Nat. Park, NSW",292,2015,6,6793,NA,2014-05-16,Eucalyptus luehmanniana,"Sir Bertam Stevens Drv, Royal National Park, New South Wales.","Whipstick mallee to 4 metres tall. Bark smooth throughout. Buds and branchlets strongly angular, pruinose. Leaves quite glossy, green. Scattered on slightly undulating sandstone in dense mallee shrubland with Angophora hispida, Corymbia gummifera, Eucalyptus obstans and depauperate E. sieberi. AD Seeds + photos",-34.1266666666667,151.079722222222,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,luehmanniana,
CCA5317,R292/T07,Eucalyptus luehmanniana,DN 6793,"Royal Nat. Park, NSW",292,2015,7,6793,NA,2014-05-16,Eucalyptus luehmanniana,"Sir Bertam Stevens Drv, Royal National Park, New South Wales.","Whipstick mallee to 4 metres tall. Bark smooth throughout. Buds and branchlets strongly angular, pruinose. Leaves quite glossy, green. Scattered on slightly undulating sandstone in dense mallee shrubland with Angophora hispida, Corymbia gummifera, Eucalyptus obstans and depauperate E. sieberi. AD Seeds + photos",-34.1266666666667,151.079722222222,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,luehmanniana,
CCA5318,R292/T08,Eucalyptus luehmanniana,DN 6793,"Royal Nat. Park, NSW",292,2015,8,6793,NA,2014-05-16,Eucalyptus luehmanniana,"Sir Bertam Stevens Drv, Royal National Park, New South Wales.","Whipstick mallee to 4 metres tall. Bark smooth throughout. Buds and branchlets strongly angular, pruinose. Leaves quite glossy, green. Scattered on slightly undulating sandstone in dense mallee shrubland with Angophora hispida, Corymbia gummifera, Eucalyptus obstans and depauperate E. sieberi. AD Seeds + photos",-34.1266666666667,151.079722222222,Eucalyptus,Eucalyptus,Eucalyptus,Fraxinales,,luehmanniana,
CCA5319,R292/T09,Eucalyptus haemastoma,DN 6795,"Lake Macquarie, NSW",292,2015,9,6795,NA,2014-05-19,Eucalyptus haemastoma,"Cambell Drv, Munmorah State Conservation Area, New South Wales.","Poor-formed tree to 7 metres tall. Bark smooth throughout, grey over cream, with scribbles. Leaves glossy, mid green. Growing on undulating hills in low open woodland with Angophora costata, Corymbia gummifera and Eucalyptus capitellata. AD Seeds",-33.1841666666667,151.613333333333,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Haemastomae,haemastoma,
CCA5320,R292/T10,Eucalyptus haemastoma,DN 6795,"Lake Macquarie, NSW",292,2015,10,6795,NA,2014-05-19,Eucalyptus haemastoma,"Cambell Drv, Munmorah State Conservation Area, New South Wales.","Poor-formed tree to 7 metres tall. Bark smooth throughout, grey over cream, with scribbles. Leaves glossy, mid green. Growing on undulating hills in low open woodland with Angophora costata, Corymbia gummifera and Eucalyptus capitellata. AD Seeds",-33.1841666666667,151.613333333333,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Haemastomae,haemastoma,
CCA5321,R292/T11,Eucalyptus haemastoma,DN 6795,"Lake Macquarie, NSW",292,2015,11,6795,NA,2014-05-19,Eucalyptus haemastoma,"Cambell Drv, Munmorah State Conservation Area, New South Wales.","Poor-formed tree to 7 metres tall. Bark smooth throughout, grey over cream, with scribbles. Leaves glossy, mid green. Growing on undulating hills in low open woodland with Angophora costata, Corymbia gummifera and Eucalyptus capitellata. AD Seeds",-33.1841666666667,151.613333333333,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Haemastomae,haemastoma,
CCA5322,R292/T12,Eucalyptus haemastoma,DN 6795,"Lake Macquarie, NSW",292,2015,12,6795,NA,2014-05-19,Eucalyptus haemastoma,"Cambell Drv, Munmorah State Conservation Area, New South Wales.","Poor-formed tree to 7 metres tall. Bark smooth throughout, grey over cream, with scribbles. Leaves glossy, mid green. Growing on undulating hills in low open woodland with Angophora costata, Corymbia gummifera and Eucalyptus capitellata. AD Seeds",-33.1841666666667,151.613333333333,Eucalyptus,Eucalyptus,Eucalyptus,Psathyroxyla,Haemastomae,haemastoma,
CCA5323,R292/T13,Eucalyptus cunninghamii,DN 5868,"Pulpit Rock, NSW",292,2015,13,5868,NA,2010-12-14,Eucalyptus cunninghamii,"Top end of Giant Stairway, Three Sisters near Katooma, Blue Mountains, New South Wales.",NA,-33.7347222222222,150.314722222222,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,cunninghamii,
CCA5324,R292/T14,Eucalyptus cunninghamii,DN 5868,"Pulpit Rock, NSW",292,2015,14,5868,NA,2010-12-14,Eucalyptus cunninghamii,"Top end of Giant Stairway, Three Sisters near Katooma, Blue Mountains, New South Wales.",NA,-33.7347222222222,150.314722222222,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,cunninghamii,
CCA5325,R292/T15,Eucalyptus cunninghamii,DN 5868,"Pulpit Rock, NSW",292,2015,15,5868,NA,2010-12-14,Eucalyptus cunninghamii,"Top end of Giant Stairway, Three Sisters near Katooma, Blue Mountains, New South Wales.",NA,-33.7347222222222,150.314722222222,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,cunninghamii,
CCA5326,R292/T16,Eucalyptus cunninghamii,DN 5868,"Pulpit Rock, NSW",292,2015,16,5868,NA,2010-12-14,Eucalyptus cunninghamii,"Top end of Giant Stairway, Three Sisters near Katooma, Blue Mountains, New South Wales.",NA,-33.7347222222222,150.314722222222,Eucalyptus,Eucalyptus,Eucalyptus,Strictae,Regulares,cunninghamii,
CCA5327,R293/T01,Eucalyptus intertexta,DN 6661,"Arltunga, NT",293,2015,1,6661,NA,2013-07-18,Eucalyptus intertexta,"Trephina Gorge to Arltunga Reserve road, Northern Territory.","Burnt mallees to 5 metres tall, regrowth to 2 metres. Juvenile regrowth leaves large and ovate. Leaves and branchlets grey and pruinose. Growing on footslope of stony hill with Eucalyptus gamophylla, and with Corymbia opaca and C. aparrerinja nearby. AD, CANB, DNA Seeds + photos",-23.4647222222222,134.695,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,intertexta,
CCA5328,R293/T02,Eucalyptus intertexta,DN 6661,"Arltunga, NT",293,2015,2,6661,NA,2013-07-18,Eucalyptus intertexta,"Trephina Gorge to Arltunga Reserve road, Northern Territory.","Burnt mallees to 5 metres tall, regrowth to 2 metres. Juvenile regrowth leaves large and ovate. Leaves and branchlets grey and pruinose. Growing on footslope of stony hill with Eucalyptus gamophylla, and with Corymbia opaca and C. aparrerinja nearby. AD, CANB, DNA Seeds + photos",-23.4647222222222,134.695,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,intertexta,
CCA5329,R293/T03,Eucalyptus intertexta,DN 6661,"Arltunga, NT",293,2015,3,6661,NA,2013-07-18,Eucalyptus intertexta,"Trephina Gorge to Arltunga Reserve road, Northern Territory.","Burnt mallees to 5 metres tall, regrowth to 2 metres. Juvenile regrowth leaves large and ovate. Leaves and branchlets grey and pruinose. Growing on footslope of stony hill with Eucalyptus gamophylla, and with Corymbia opaca and C. aparrerinja nearby. AD, CANB, DNA Seeds + photos",-23.4647222222222,134.695,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,intertexta,
CCA5330,R293/T04,Eucalyptus intertexta,DN 6661,"Arltunga, NT",293,2015,4,6661,NA,2013-07-18,Eucalyptus intertexta,"Trephina Gorge to Arltunga Reserve road, Northern Territory.","Burnt mallees to 5 metres tall, regrowth to 2 metres. Juvenile regrowth leaves large and ovate. Leaves and branchlets grey and pruinose. Growing on footslope of stony hill with Eucalyptus gamophylla, and with Corymbia opaca and C. aparrerinja nearby. AD, CANB, DNA Seeds + photos",-23.4647222222222,134.695,Eucalyptus,Symphyomyrtus,Adnataria,Buxeales,Subplatyphyllae,intertexta,
CCA5331,R293/T05,Eucalyptus camfieldii,DN 6794,"Ku-Ring-Gai Chase, NSW",293,2015,5,6794,NA,2014-05-17,Eucalyptus camfieldii,"West Head Rd, Elvina Track turnoff, Ku-Ring-Gai Chase National Park, New South Wales.","Dense-crowned mallee 3 metres tall. Bark rough throughout, stringy. Leaves thick, glossy, green. Locally frequent over a few hectares, in low dense shrubland on sandstone rise with Angophora hispida, Corymbia gummifera and some Eucalyptus haemastoma. AD Seeds + photos",-33.6433333333333,151.262222222222,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,camfieldii,
CCA5332,R293/T06,Eucalyptus camfieldii,DN 6794,"Ku-Ring-Gai Chase, NSW",293,2015,6,6794,NA,2014-05-17,Eucalyptus camfieldii,"West Head Rd, Elvina Track turnoff, Ku-Ring-Gai Chase National Park, New South Wales.","Dense-crowned mallee 3 metres tall. Bark rough throughout, stringy. Leaves thick, glossy, green. Locally frequent over a few hectares, in low dense shrubland on sandstone rise with Angophora hispida, Corymbia gummifera and some Eucalyptus haemastoma. AD Seeds + photos",-33.6433333333333,151.262222222222,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,camfieldii,
CCA5333,R293/T07,Eucalyptus camfieldii,DN 6794,"Ku-Ring-Gai Chase, NSW",293,2015,7,6794,NA,2014-05-17,Eucalyptus camfieldii,"West Head Rd, Elvina Track turnoff, Ku-Ring-Gai Chase National Park, New South Wales.","Dense-crowned mallee 3 metres tall. Bark rough throughout, stringy. Leaves thick, glossy, green. Locally frequent over a few hectares, in low dense shrubland on sandstone rise with Angophora hispida, Corymbia gummifera and some Eucalyptus haemastoma. AD Seeds + photos",-33.6433333333333,151.262222222222,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,camfieldii,
CCA5334,R293/T08,Eucalyptus camfieldii,DN 6794,"Ku-Ring-Gai Chase, NSW",293,2015,8,6794,NA,2014-05-17,Eucalyptus camfieldii,"West Head Rd, Elvina Track turnoff, Ku-Ring-Gai Chase National Park, New South Wales.","Dense-crowned mallee 3 metres tall. Bark rough throughout, stringy. Leaves thick, glossy, green. Locally frequent over a few hectares, in low dense shrubland on sandstone rise with Angophora hispida, Corymbia gummifera and some Eucalyptus haemastoma. AD Seeds + photos",-33.6433333333333,151.262222222222,Eucalyptus,Eucalyptus,Eucalyptus,Pachyphloiae,,camfieldii,
CCA5335,R293/T10,Eucalyptus buprestium,DN 6703,"Woogenellup, WA",293,2015,10,6703,NA,2013-11-25,Eucalyptus bupestrium,"Woogenilup North Road, Western Australia.","Mallee to 3 metres tall. Leaves dull, green. Growing with Eucalyptus decipiens, E. decurva, E. pachyloma, E. pleurocarpa and E. uncinata. PERTH Seeds",-34.5186111111111,118.008888888889,Eucalyptus,Eucalyptus,'Frutices' ms,Diversiformae,Cochleatae,buprestium,
