file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
E_glomerosa_1_R1	FASTQ	DNA	61224614	9117044690	49	148.9	150	150	150	150	0	150	1	96	91	24.85	42.26	62635
E_glomerosa_1_R2	FASTQ	DNA	61224614	9117044690	49	148.9	150	150	150	150	0	150	1	95	89	23.85	42.33	67760
E_glomerosa_2_R1	FASTQ	DNA	79859198	11832189672	49	148.2	150	150	150	150	0	150	1	97	94	26.25	42.02	107148
E_glomerosa_2_R2	FASTQ	DNA	79859198	11832189672	49	148.2	150	150	150	150	0	150	1	96	91	24.46	42.11	79831
E_gomphocephala_R1	FASTQ	DNA	65007354	9667293931	49	148.7	150	150	150	150	0	150	1	97	92	25.43	42.41	174403
E_gomphocephala_R2	FASTQ	DNA	65007354	9667293931	49	148.7	150	150	150	150	0	150	1	96	92	25.01	42.39	26642
E_gomphocephala_x_E_zopherophloia_1_R1	FASTQ	DNA	61234970	9105792758	49	148.7	150	150	150	150	0	150	1	97	92	25.22	42.83	110624
E_gomphocephala_x_E_zopherophloia_1_R2	FASTQ	DNA	61234970	9105792758	49	148.7	150	150	150	150	0	150	1	95	89	23.91	42.73	21923
E_gomphocephala_x_E_zopherophloia_2_R1	FASTQ	DNA	49711634	7120813397	49	143.2	150	150	150	150	0	150	1	97	92	25.5	41.62	90797
E_gomphocephala_x_E_zopherophloia_2_R2	FASTQ	DNA	49711634	7120813397	49	143.2	150	150	150	150	0	150	1	97	92	25.14	41.55	16986
E_goniantha_goniantha_R1	FASTQ	DNA	227949713	33880763745	49	148.6	150	150	150	150	0	150	1	97	93	25.65	42.14	187121
E_goniantha_goniantha_R2	FASTQ	DNA	227949713	33880763745	49	148.6	150	150	150	150	0	150	1	94	87	22.91	42.36	33300
E_goniocalyx_viridissima_R1	FASTQ	DNA	55335140	8226330239	49	148.7	150	150	150	150	0	150	1	98	94	27.72	39.75	329064
