initial_label	genus	subgenus	section	is_included	is_label_swapped	final_label	notes
E_decipiens_3	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	FALSE	E_decipiens_3	Different section
E_decipiens_Ferguson2024	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_decipiens_Ferguson2024	
E_decorticans	Eucalyptus	Symphyomyrtus	Adnataria	TRUE	FALSE	E_decorticans	
E_deflexa	Eucalyptus	Symphyomyrtus	Dumaria	TRUE	FALSE	E_deflexa	
E_delicata	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_delicata	
E_dendromorpha	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_dendromorpha	
E_densa_densa	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	FALSE	FALSE	E_densa_densa	Different subgenus
E_desmondensis	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_desmondensis	
E_desmondensis_x_E_occidentalis	Eucalyptus-H	Symphyomyrtus-H	Glandulosae' ms-H	FALSE	FALSE	E_desmondensis_x_E_occidentalis	Hybrid
E_deuaensis	Eucalyptus	Eucalyptus	Eucalyptus	TRUE	FALSE	E_deuaensis	
E_dielsii_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_dielsii_1	Did not group together with other samples
E_dielsii_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_dielsii_2	Did not group together with other samples
E_diminuta_1	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_diminuta_1	
E_diminuta_2	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_diminuta_2	
E_diminuta_3	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_diminuta_3	
E_diminuta_4	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_diminuta_4	
E_diminuta_5	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_diminuta_5	
E_diptera	Eucalyptus	Symphyomyrtus	'Glandulosae' ms	TRUE	FALSE	E_diptera	
E_discreta	Eucalyptus	Symphyomyrtus	Bisectae	FALSE	TRUE	C_haematoxylon	Different genus
E_dissimulata_1	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_dissimulata_1	Did not group together with other samples
E_dissimulata_2	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_dissimulata_2	Did not group together with other samples
E_diversifolia_diversifolia	Eucalyptus	Eucalyptus	'Frutices' ms	TRUE	FALSE	E_diversifolia_diversifolia	
E_diversifolia_hesperia	Eucalyptus	Eucalyptus	'Frutices' ms	TRUE	FALSE	E_diversifolia_hesperia	
E_dolichocera	Eucalyptus	Symphyomyrtus	Bisectae	TRUE	FALSE	E_dolichocera	
E_dolichorhyncha	Eucalyptus	Symphyomyrtus	Dumaria	FALSE	FALSE	E_dolichorhyncha	Different section
E_dorrigoensis	Eucalyptus	Symphyomyrtus	Maidenaria	TRUE	FALSE	E_dorrigoensis	
E_dorrigoensis_x_E_xsaligna	Eucalyptus-H	Symphyomyrtus-H	Maidenaria-H	FALSE	FALSE	E_dorrigoensis_x_E_xsaligna	Hybrid
E_drepanophylla_1	Eucalyptus	Symphyomyrtus	Adnataria	FALSE	FALSE	E_drepanophylla_1	Did not group together with other samples
